Start frame:201, End frame:201, Time taken:9 microseconds
Start frame:202, End frame:202, Time taken:7 microseconds
Start frame:203, End frame:203, Time taken:8 microseconds
Start frame:204, End frame:204, Time taken:8 microseconds
Start frame:205, End frame:205, Time taken:7 microseconds
Start frame:206, End frame:206, Time taken:7 microseconds
Start frame:207, End frame:207, Time taken:8 microseconds
Start frame:208, End frame:208, Time taken:8 microseconds
Start frame:209, End frame:209, Time taken:7 microseconds
Start frame:210, End frame:210, Time taken:7 microseconds
Start frame:211, End frame:211, Time taken:7 microseconds
Start frame:212, End frame:212, Time taken:8 microseconds
Start frame:213, End frame:213, Time taken:16 microseconds
Start frame:214, End frame:214, Time taken:8 microseconds
Start frame:215, End frame:215, Time taken:7 microseconds
Start frame:216, End frame:216, Time taken:7 microseconds
Start frame:217, End frame:217, Time taken:7 microseconds
Start frame:218, End frame:218, Time taken:7 microseconds
Start frame:219, End frame:219, Time taken:16 microseconds
Start frame:220, End frame:220, Time taken:7 microseconds
Start frame:221, End frame:221, Time taken:7 microseconds
Start frame:222, End frame:222, Time taken:7 microseconds
Start frame:223, End frame:223, Time taken:7 microseconds
Start frame:224, End frame:224, Time taken:9 microseconds
Start frame:225, End frame:225, Time taken:7 microseconds
Start frame:226, End frame:226, Time taken:16 microseconds
Start frame:227, End frame:227, Time taken:11 microseconds
Start frame:228, End frame:228, Time taken:11 microseconds
Start frame:229, End frame:229, Time taken:11 microseconds
Start frame:230, End frame:230, Time taken:12 microseconds
Start frame:231, End frame:231, Time taken:8 microseconds
Start frame:232, End frame:232, Time taken:11 microseconds
Start frame:233, End frame:233, Time taken:7 microseconds
Start frame:234, End frame:234, Time taken:7 microseconds
Start frame:235, End frame:235, Time taken:8 microseconds
Start frame:236, End frame:236, Time taken:7 microseconds
Start frame:237, End frame:237, Time taken:7 microseconds
Start frame:238, End frame:238, Time taken:7 microseconds
Start frame:239, End frame:239, Time taken:7 microseconds
Start frame:240, End frame:240, Time taken:7 microseconds
Start frame:241, End frame:241, Time taken:7 microseconds
Start frame:242, End frame:242, Time taken:32 microseconds
Start frame:243, End frame:243, Time taken:7 microseconds
Start frame:244, End frame:244, Time taken:13 microseconds
Start frame:245, End frame:245, Time taken:17 microseconds
Start frame:246, End frame:246, Time taken:8 microseconds
Start frame:247, End frame:247, Time taken:7 microseconds
Start frame:248, End frame:248, Time taken:7 microseconds
Start frame:249, End frame:249, Time taken:8 microseconds
Start frame:250, End frame:250, Time taken:13 microseconds
Start frame:251, End frame:251, Time taken:13 microseconds
Start frame:252, End frame:252, Time taken:13 microseconds
Start frame:253, End frame:253, Time taken:7 microseconds
Start frame:254, End frame:254, Time taken:10 microseconds
Start frame:255, End frame:255, Time taken:11 microseconds
Start frame:256, End frame:256, Time taken:10 microseconds
Start frame:257, End frame:257, Time taken:45 microseconds
Start frame:258, End frame:258, Time taken:19 microseconds
Start frame:259, End frame:259, Time taken:56 microseconds
Start frame:260, End frame:260, Time taken:25 microseconds
Start frame:261, End frame:261, Time taken:13 microseconds
Start frame:262, End frame:262, Time taken:11 microseconds
Start frame:263, End frame:263, Time taken:10 microseconds
Start frame:264, End frame:264, Time taken:18 microseconds
Start frame:265, End frame:265, Time taken:11 microseconds
Start frame:266, End frame:266, Time taken:14 microseconds
Start frame:267, End frame:267, Time taken:12 microseconds
Start frame:268, End frame:268, Time taken:12 microseconds
Start frame:269, End frame:269, Time taken:123 microseconds
Start frame:270, End frame:270, Time taken:14 microseconds
